"source_country_iso3c","exporter_iso3c","consumer_iso3c","total_weight"
"BRA","THA","FSM",3.29082700986002
"BRA","THA","MHL",0.741968220117123
"BRA","THA","PNG",121.51317336154
"BRA","THA","SLB",10.0401700345065
"BRA","THA","VUT",12.4773430499628
"BRA","USA","FJI",26.8522632935366
"BRA","USA","PLW",7.45832752201607
"BRA","USA","WSM",9.0527222820808
"BRA","VUT","USA",1.14028873821899
"BRA","WSM","FJI",0.0136008882976298
"BRA","WSM","JPN",0.127282483403751
"BRA","WSM","USA",0.630953662505354
"BRB","CHN","FJI",0.396955040429288
"BRB","THA","PNG",0.859149590122934
"BRB","USA","WSM",0.51540632084038
"BRB","WSM","FJI",0.0130001850924788
"BRB","WSM","JPN",0.121660865604453
"BRB","WSM","USA",0.603086667418362
"BRN","CHN","FJI",29.9417558873889
"BRN","CHN","PNG",1.59151972627065
"BRN","CHN","WSM",0.451558761258602
"BRN","FJI","CHN",6.93873847246833
"BRN","FJI","ESP",0.0933394615779864
"BRN","FJI","FRA",0.366653816823547
"BRN","FJI","JPN",25.1130057195022
"BRN","FJI","KOR",0.47699785402852
"BRN","FJI","LKA",1.57239927951751
"BRN","FJI","NZL",0.169978307408218
"BRN","FJI","SGP",0.226356569307512
"BRN","FJI","THA",0.596240438168091
"BRN","FJI","TON",0.214494498358541
"BRN","FJI","TWN",19.8484684906738
"BRN","FJI","USA",4.28509055551949
"BRN","FJI","VNM",3.39100075048113
"BRN","IDN","WSM",0.248917431745361
"BRN","PHL","PNG",0.116510319083859
"BRN","PNG","DEU",0.944069577823253
"BRN","PNG","ESP",0.402806847122768
"BRN","PNG","GBR",0.354654763503383
"BRN","THA","PNG",10.5625725893299
"BRN","THA","SLB",0.218564685489169
"BRN","TWN","FJI",0.0208824634936116
"BRN","WSM","USA",0.882139931067168
"CAN","AUS","FJI",0.14983321880745
"CAN","AUS","FSM",0.450741470953722
"CAN","AUS","PNG",10.424422620188
"CAN","AUS","WSM",0.297479596068775
"CAN","CAN","FJI",3903.78506754728
"CAN","CAN","SLB",29.4691897731864
"CAN","CAN","TON",58.3545538692027
"CAN","CAN","VUT",0.326961203242364
"CAN","CAN","WSM",155.379722535619
"CAN","CHL","FJI",0.598347554148806
"CAN","CHL","TON",0.0829233225409227
"CAN","CHL","WSM",0.165338954084901
"CAN","CHN","FJI",414.651971356267
"CAN","CHN","FSM",3.38646707118104
"CAN","CHN","KIR",6.81393225258809
"CAN","CHN","MHL",5.51618315546914
"CAN","CHN","PNG",172.668663429007
"CAN","CHN","SLB",3.35643273083483
"CAN","CHN","TON",39.1774808433548
"CAN","CHN","VUT",32.5523553611485
"CAN","CHN","WSM",152.920039096629
"CAN","FJI","AUS",6.17049167518713
"CAN","FJI","CHN",39.5597436449215
"CAN","FJI","ESP",0.235916632885614
"CAN","FJI","FRA",16.8348214245715
"CAN","FJI","GBR",1.06610558441797
"CAN","FJI","JPN",740.16987875793
"CAN","FJI","KOR",22.213496649492
"CAN","FJI","NLD",79.7819054566915
"CAN","FJI","NZL",2.65145966368957
"CAN","FJI","THA",17.4420919390308
"CAN","FJI","TWN",12.9128479605642
"CAN","FJI","USA",161.056636467318
"CAN","FJI","VNM",42.9691260323327
"CAN","FJI","VUT",0.397497685430856
"CAN","FJI","WSM",19.1379510006694
"CAN","GBR","FJI",0.318261518552233
"CAN","IDN","FJI",0.360178159635757
"CAN","IDN","WSM",1.32810914218323
"CAN","JPN","FSM",11.1608109413348
"CAN","JPN","PLW",1.21744145690904
"CAN","JPN","PNG",30.6807368808351
"CAN","KOR","FJI",139.038825190361
"CAN","KOR","PNG",8.87111113240731
"CAN","KOR","VUT",1.60628876305422
"CAN","MHL","TWN",1.09408309709001
"CAN","MYS","FJI",1.62596201029457
"CAN","MYS","MHL",0.141436151682652
"CAN","MYS","PNG",2.65329489771893
"CAN","NZL","FJI",34.3994494605871
"CAN","NZL","PNG",4.84148792740944
"CAN","NZL","TON",1.43887019026063
"CAN","NZL","TUV",0.261533041046787
"CAN","NZL","WSM",11.2958531142521
"CAN","PAK","FJI",0.0715847028337161
