"Country","Year","Maximum Water Height (m)","Earthquake Magnitude","Latitude","Longitude","COUNTRY"
"VANUATU",2010,0.23,7.2,-17.541,168.069,"VUT"
"VANUATU",2010,4.1,7.3,-19.702,167.947,"VUT"
"VANUATU",2011,0.03,6.5,-19.157,168.311,"VUT"
"VANUATU",2011,0.19,7.1,-18.365,168.143,"VUT"
"VANUATU",2011,0.15,7,-18.311,168.218,"VUT"
"VANUATU",2012,0.08,7,-17.827,167.133,"VUT"
"VANUATU",2012,0.05,6.7,-19.125,169.613,"VUT"
"VANUATU",2012,NA,6.3,-18.972,168.741,"VUT"
"VANUATU",2015,8,6.4,-16.431,168.148,"VUT"
"VANUATU",2016,0.02,7,-16.043,167.379,"VUT"
"VIETNAM",2017,8.5,NA,15.317,108.249,"VNM"
