"importer_iso3c","exporter_iso3c","year","total_weight_t","protein_sum","fattyacids_sum","calcium_sum","zinc_sum","iron_sum","vita_sum","vitb12_sum","protein_norm","fattyacids_norm","calcium_norm","zinc_norm","iron_norm","vita_norm","vitb12_norm","shannon_diversity","norm_sum"
"AUS","VUT",2006,149.073816487739,32215153.9233635,771575.431427829,11302565.7621023,971697.262984569,2368635.66860364,20773844.126869,9084374.13845513,644303.078467269,551125.308162735,8694.28135546334,88336.114816779,131590.87047798,23082.0490298544,3785155.89102297,0.925279837114394,5232287.59333305
"AUT","PNG",2000,46.9612238024697,10962406.1833549,64702.6071860693,2415408.48748132,239379.630800324,404864.917574142,7885540.6429127,1187919.82225086,219248.123667098,46216.1479900495,1858.00652883179,21761.7846182113,22492.4954207857,8761.71182545855,494966.592604526,1.07721330226281,815304.862654962
"AUT","PNG",2001,79.192644808085,16184298.6412091,542603.143836452,7123992.11560462,641047.067775436,1445349.14472229,9633009.23039206,6340512.20321122,323685.972824183,387573.674168894,5479.99393508048,58277.0061614033,80297.1747067941,10703.3435893245,2641880.08467134,0.859102368440903,3507897.25005702
"AUT","PNG",2003,59.5613094228575,12356973.2653779,370418.04759903,5135637.24640794,465330.358493923,1011804.83186242,7874255.03787493,4366747.21987724,247139.465307558,264584.319713593,3950.49018954457,42302.7598630839,56211.3795479124,8749.17226430547,1819478.00828218,0.879528799193423,2442415.59516818
"AUT","PNG",2004,93.4593110275251,18995093.7212129,658945.172572861,8610269.43412521,765061.859900299,1740991.55685701,11101894.8989394,7653252.55607672,379901.874424257,470675.123266329,6623.28418009631,69551.0781727544,96721.7531587227,12335.4387765994,3188855.23169863,0.854660904992991,4224663.78367739
"AUT","PNG",2005,134.349961308732,27202965.4358329,965532.858016792,12443086.028152,1115800.50070581,2522720.53420366,16255897.9364514,11183308.8005849,544059.308716658,689666.327154852,9571.60463703998,101436.409155074,140151.140789092,18062.1088182794,4659712.00024373,0.851531133995608,6162658.89951472
"AUT","PNG",2006,219.469020986052,44471110.9616223,1570828.32034328,20308940.6890772,1810858.25108289,4090738.74312617,27268484.0774362,18021585.4714272,889422.219232447,1122020.22881663,15622.2620685209,164623.477371172,227263.263507009,30298.3156415958,7508993.946428,0.85645863214265,9958243.71306537
"AUT","PNG",2007,83.9247741627191,16929705.3615533,612163.47302282,7872683.39814235,704734.356450713,1582513.7772079,10359287.5783675,7042568.4599542,338594.107231066,437259.623587728,6055.91030626334,64066.7596773376,87917.4320671055,11510.3195315195,2934403.52498092,0.851021989780688,3879807.67738194
"AUT","PNG",2008,68.3153067414929,13800650.3237704,495330.992025196,6376155.42193455,570992.795121037,1285234.41389604,8376319.52302377,5708917.34922222,276013.006475408,353807.851446569,4904.73493994965,51908.4359200943,71401.9118831131,9307.02169224863,2378715.56217593,0.851575091076233,3146058.52453331
"AUT","PNG",2009,88.8862166354473,18095694.937041,618533.850552476,8115993.92387317,729465.099084697,1627888.24951836,11116731.2649793,7180806.39381705,361913.89874082,441809.893251769,6243.07224913321,66315.0090076997,90438.2360843534,12351.9236277548,2992002.66409044,0.858498004741793,3971074.69705197
"AUT","PNG",2010,83.4351400990083,16831375.1323227,608743.910918871,7830540.89841228,701410.478342867,1574585.9217914,10300247.225946,7013703.04224794,336627.502646453,434817.079227765,6023.49299877868,63764.5889402606,87476.9956550778,11444.71913994,2922376.26760331,0.850430640685508,3862530.64621158
"AUT","PNG",2011,265.692960621459,55101387.48248,1650643.37533583,23228254.3866738,2080725.80586065,4524223.91665827,36048211.8094269,19476112.2382431,1102027.7496496,1179030.98238274,17867.8879897491,189156.891441877,251345.773147682,40053.568677141,8115046.76593462,0.880254423621741,10894529.6192234
"AUT","PNG",2012,127.81468510472,25850746.0047374,912755.944485473,12266582.752399,1072712.32287757,2398449.54006727,16794426.3612715,10605538.3906416,517014.920094747,651968.531775338,9435.83288646077,97519.3020797793,133247.196670404,18660.4737347461,4418974.32943401,0.853884723903143,5846820.58667549
"AUT","PNG",2013,101.159444712012,20404081.1025194,736289.111501297,9531877.64250434,850934.830357993,1907152.18394794,12832873.1518735,8480684.19420547,408081.622050388,525920.793929498,7332.21357115718,77357.7118507267,105952.899108219,14258.7479465261,3533618.41425228,0.851626459406181,4672522.40270879
"AUT","PNG",2014,198.063857109131,39982170.7872799,1432799.48679824,18669662.9113934,1660025.18798531,3716811.70372158,25715329.6668543,16463703.2379869,799643.415745598,1023428.20485589,14361.2791626103,150911.380725937,206489.539095643,28572.588518727,6859876.34916121,0.854363211826499,9083282.75726562
"AUT","PNG",2015,655.556324675863,132482804.668225,4709182.27322172,61613330.7046879,5476520.7819961,12249532.1861981,85400918.9626504,54168096.0250784,2649656.0933645,3363701.6237298,47394.8697728369,497865.525636009,680529.565899896,94889.9099585004,22570040.0104493,0.855619392803419,29904077.5988109
"AUT","PNG",2016,731.091734329754,148707652.343978,5078546.03793477,67346686.4071985,5993955.35683206,13340272.1180052,96076189.860007,58497436.7567604,2974153.04687955,3627532.88423912,51805.1433901527,544905.032439278,741126.228778066,106751.322066674,24373931.9819835,0.862838581208129,32420205.6397764
"AUT","PNG",2017,759.803442918929,153760561.529765,5425377.51417621,71909532.7020728,6344717.27632089,14167283.7303168,99448100.2629766,62590991.6613982,3075211.23059531,3875269.65298301,55315.0251554406,576792.479665535,787071.318350932,110497.889181085,26079579.8589159,0.856203865661651,34559737.4548472
"AUT","PNG",2018,646.565581272034,130409292.357704,4702325.07473846,61278830.3040445,5444304.15737609,12185584.4894686,81913122.9174041,54178266.2451486,2608185.84715408,3358803.62481319,47137.5617723419,494936.741579644,676976.916081588,91014.5810193379,22574277.6021453,0.851778486749455,29851332.8745654
"AUT","PNG",2019,341.701479325011,69096305.6222495,2454253.45348203,32071665.1554079,2861617.40584679,6371779.0452653,43591241.0533643,28297753.0762009,1381926.11244499,1753038.18105859,24670.5116580061,260147.036895162,353987.724736961,48434.7122815159,11790730.448417,0.854372058945817,15612934.7274923
"AUT","PNG",2020,178.0342239344,38572884.4987926,790884.008045115,13471135.0584335,1230019.39752902,2469759.74780079,27072651.2711738,9905844.45725823,771457.689975852,564917.148603653,10362.4115834104,111819.945229911,137208.874877821,30080.7236346376,4127435.19052426,0.940104592768139,5753281.98442955
"BEL","PNG",2007,5.88097212649575,1208891.74330562,38522.3335429022,523200.129528889,47227.7568816867,102825.978978603,778500.898853111,449247.060002297,24177.8348661125,27515.9525306445,402.461638099145,4293.4324437897,5712.55438770016,865.000998725679,187186.275000957,0.871637454484239,250153.511866029
"BEL","PNG",2008,1.35698758152746,279335.07762971,8814.64628233482,120204.237350372,10856.9824400594,23595.69101101,180268.493451167,102918.272833343,5586.7015525942,6296.17591595344,92.4647979618243,986.998403641766,1310.87172283389,200.298326056852,42882.6136805594,0.873185110492819,57356.1243996014
"BEL","PNG",2009,14.6949190206584,3314841.92028973,41124.2400011212,915508.922601042,87478.4202140749,160743.720996213,2383625.40363899,573152.835602504,66296.8384057947,29374.457143658,704.237632770032,7952.58365582499,8930.20672201183,2648.47267070999,238813.681501043,1.01288395344251,354720.477731813
"BEL","PNG",2010,1.04828983057646,214972.512531853,6963.51279997849,93941.0178350775,8471.29008781321,18499.6038567871,137937.526240563,81048.9393395802,4299.45025063707,4973.93771427035,72.2623214115981,770.117280710292,1027.75576982151,153.26391804507,33770.3913914918,0.869045625648399,45067.1786463876
"BEL","PNG",2011,0.215854100547046,43386.6742099563,1599.47888505361,20506.1395519694,1834.75985464989,4101.22791039387,26981.7625683808,18347.5985464989,867.733484199126,1142.48491789544,15.7739535015149,166.796350422717,227.845995021882,29.9797361870898,7644.83272770788,0.848794521157559,10095.4471649356
"BEL","PNG",2012,5.10993685619359,1053047.02662171,31974.043395595,441960.580351278,38772.1292927075,82776.8612631721,720237.791911415,343145.105317242,21060.9405324342,22838.602425425,339.969677193291,3524.73902660977,4598.71451462067,800.264213234905,142977.127215517,0.914132617309407,196140.357605035
"BEL","PNG",2013,2.31708600949389,471846.611291928,15548.0276282341,207738.152147743,18130.1843106978,39319.9343959453,318097.848859654,165575.612637665,9436.93222583856,11105.7340201672,159.798578575187,1648.1985736998,2184.44079977474,353.442054288505,68989.8385990272,0.900171479632087,93878.3848513712
"BEL","PNG",2014,5.12947689475463,1046182.59676982,34629.4295568673,460189.014144468,40626.3352061163,89332.0528238907,676173.528172015,382119.298077857,20923.6519353963,24735.3068263338,353.991549341898,3693.30320055603,4962.89182354948,751.303920191128,159216.374199107,0.884882665830333,214636.823454476
